Unnamed: 0,Name,Profile,Followers,Country,Topic of Influence,JSON Downloaded,All posts downloaded,TotalPosts,Completed,Unnamed: 10,Unnamed: 11,Unnamed: 12,JSON STATUS OLD
0,Cristiano Ronaldo,@cristiano,614M,Portugal,"Finance, Soccer",1,,3609.0,,,,,1.0
1,Leo Messi,@leomessi,493.5M,Argentina,"Sports, Soccer, Activity General, General Interest",1,,1157.0,,,,,1.0
2,Selena Gomez,@selenagomez,429.7M,United States,"Beauty and Self Care, Entertainment and Music, Music, Actors",1,,1954.0,,,,,1.0
3,Kylie,@kyliejenner,399M,United States,"Beauty and Self Care, Product Showcase, Modeling, Public Figure",1,,6931.0,,,,,1.0
4,Dwayne Johnson,@therock,394.4M,United States,"Entertainment and Music, Actors, Public Figure",1,,7545.0,,,,,1.0
5,Ariana Grande,@arianagrande,381M,United States,"Entertainment and Music, Music, Singer, Actors",1,,140.0,,,,,1.0
6,Kim Kardashian,@kimkardashian,364.2M,United States,"Fashion and Accessories, Beauty and Self Care, Actors, Public Figure",1,,6017.0,,,,,1.0
7,Beyoncé,@beyonce,319.1M,United States,"Music, Singer",1,,2248.0,,,,,1.0
8,Khloé Kardashian,@khloekardashian,311.6M,United States,"Fashion and Accessories, Modeling, Public Figure",1,,4424.0,,,,,1.0
9,Kendall,@kendalljenner,294M,,"Food, Fashion and Accessories, Modeling, Fashion Model",1,,565.0,,,,,1.0
10,Justin Bieber,@justinbieber,292.9M,Canada,"Entertainment and Music, Music, Singer, Musician",1,,7442.0,,,,,1.0
11,Taylor Swift,@taylorswift,278.3M,United States,"Entertainment and Music, Music, Singer, Songwriting",1,,627.0,,,,,1.0
12,Virat Kohli,@virat.kohli,264.7M,India,"Sports, Cricket, Athlete",1,,1676.0,,,,,1.0
13,Jennifer Lopez,@jlo,253.1M,United States,"Art, Food and Drink, Entertainment and Music, Celebrity",1,,824.0,,,,,1.0
14,Barbie,@nickiminaj,228.6M,,"Fashion and Accessories, Singer, Artist",1,,6610.0,,,,,1.0
15,Kourtney Kardashian Barker,@kourtneykardash,224.8M,United States,"Entertainment and Music, Business and Finance, Modeling, Actors",1,,4515.0,,,,,1.0
16,NJ 🇧🇷,@neymarjr,216.7M,Brazil,"Sports, Soccer, Athlete",1,,5509.0,,,,,1.0
17,Miley Cyrus,@mileycyrus,215.7M,United States,Music,1,,,,,,,1.0
18,KATY PERRY,@katyperry,206.8M,United States,"Entertainment and Music, Music, Singer, Bands Musicians",1,,,,,,,1.0
19,Zendaya,@zendaya,185.1M,United States,"Entertainment and Music, Acting and Drama, Celebrity, Actors",1,,,,,,,1.0
20,Kevin Hart,@kevinhart4real,179.6M,United States,"Entertainment and Music, Comedian, Creators & Celebrities",1,,,,,,,1.0
21,Cardi B,@iamcardib,169.1M,United States,"Entertainment and Music, Singer, Hair & Beauty, Celebrities",1,,,,,,,1.0
22,👑,@kingjames,157.7M,,"Sports, Basketball",1,,,,,,,1.0
23,Demi Lovato,@ddlovato,157.5M,United States,"Entertainment and Music, Singer, Songwriting, Music",1,,,,,,,1.0
24,badgalriri,@badgalriri,152.6M,,"Music, Singer",1,,,,,,,1.0
25,Real Madrid C.F.,@realmadrid,148.1M,,"Entertainment and Music, Sports, Soccer",1,,,,,,,1.0
26,BROWN,@chrisbrownofficial,144.2M,,"Art, Singer, Artist",1,,,,,,,1.0
27,champagnepapi,@champagnepapi,143.9M,,"Entertainment and Music, Singer, Rap",1,,,,,,,1.0
28,BILLIE EILISH,@billieeilish,110.3M,United States,"Art, Singer",1,,,,,,,1.0
29,Kylian Mbappé,@k.mbappe,109.8M,France,"Sports, Business and Finance, Home and Garden, Soccer",1,,,,,,,1.0
30,Gal Gadot,@gal_gadot,109.5M,Israel,"Entertainment and Music, Food, Actors, Artist",1,,,,,,,1.0
31,Vin Diesel,@vindiesel,101.9M,United States,"Producers, Director, Actors",1,,,,,,,1.0
32,LISA,@lalalalisa_m,99.7M,South Korea,Singer,1,,,,,,,1.0
33,Shakira,@shakira,90.2M,,"Music, Singer, Musician Band",1,,,,,,,1.0
34,Priyanka,@priyankachopra,89.9M,,"Actors, Artist, Creators & Celebrities",1,,,,,,,1.0
35,DUA LIPA,@dualipa,88.5M,United States,"Entertainment and Music, Singer, Artist",1,,,,,,,1.0
36,David Beckham,@davidbeckham,86.1M,United Kingdom,"Sports, Soccer, Public Figure",1,,,,,,,1.0
37,Shraddha ✶,@shraddhakapoor,84.2M,,"Beauty and Self Care, Celebrity, Actors, Actor",1,,,,,,,1.0
38,J,@jennierubyjane,82.5M,,Singer,1,,,,,,,1.0
39,Alia Bhatt 💛,@aliaabhatt,81.2M,India,"Acting and Drama, Celebrity, Actors, Actor",1,,,,,,,1.0
40,Narendra Modi,@narendramodi,80.9M,India,Politics,1,,,,,,,1.0
41,Khaby Lame,@khaby00,80.6M,Italy,"Entertainment and Music, Funny, Education, Life and Society",1,,,,,,,1.0
42,snoopdogg,@snoopdogg,80.3M,,"Entertainment and Music, Music, Food, Chef",1,,,,,,,99.0
43,Gigi Hadid,@gigihadid,79M,United States,"Fashion and Accessories, Business and Finance, Modeling, TV Host",1,,,,,,,99.0
44,Katrina Kaif,@katrinakaif,78.7M,India,"Beauty and Self Care, Celebrity, Actors, Actor",1,,,,,,,99.0
45,दीपिका पादुकोण,@deepikapadukone,77.7M,India,"Entertainment and Music, Actors",1,,,,,,,99.0
46,JISOO🪐,@sooyaaa__,76.7M,,"Art, Singer",1,,,,,,,99.0
47,Karim Benzema,@karimbenzema,76.1M,France,"Sports, Entertainment and Music, Soccer",1,,,,,,,1.0
48,Emma Watson,@emmawatson,75.1M,United Kingdom,"Entertainment and Music, Fashion and Accessories, Education, Celebrity",1,,,,,,,99.0
49,Ronaldo de Assis Moreira,@ronaldinho,74.8M,Brazil,"Sports, Automotive, Soccer",1,,,,,,,99.0
50,Neha Kakkar,@nehakakkar,74.7M,India,"Entertainment and Music, Singer, Musician",1,,,,,,,99.0
51,BTS official,@bts.bighitofficial,74M,South Korea,"Entertainment and Music, Music, Band, Singer",1,,,,,,,0.0
52,Raffi Ahmad and Nagita Slavina,@raffinagita1717,73.8M,Indonesia,"Entertainment and Music, family, Celebrity, Marketing and Advertising",1,,,,,,,0.0
53,Shawn Mendes,@shawnmendes,73.6M,Brazil,"Music, Singer, Songwriting, Musician",1,,,,,,,0.0
